ORG,OBJECT,PROJECT,ACCOUNT,DESCRIPTION,YEAR,PER,JOURNAL,EFF DATE,SRC,T,REF1,PO/REF2,REF3,REFERENCE,AMOUNT
44330,57141,00000,1100-40-44-443-4430-0000-00000-00000-57141-00000,ST SN PLOW ID CHRG FS,2015,12,"3,750",12/30/2015,GEN,1,,,,FS CHRGS,"650,676.00"
44331,57141,00000,1100-40-44-443-4431-0000-00000-00000-57141-00000,ST SN REMV ID CHRG FS,2015,12,"3,750",12/30/2015,GEN,1,,,,FS CHRGS,"95,601.00"
44332,57141,00000,1100-40-44-443-4432-0000-00000-00000-57141-00000,ST SN CROS ID CHRG FS,2015,12,"3,750",12/30/2015,GEN,1,,,,FS CHRGS,"95,601.00"
44335,57141,00000,1100-40-44-443-4435-0000-00000-00000-57141-00000,ST SN BUS ID CHRG FS,2015,12,"3,750",12/30/2015,GEN,1,,,,FS CHRGS,"18,532.00"
44332,51120,00000,1100-40-44-443-4432-0000-00000-00000-51120-00000,ST SN CROS PRMIUM PAY,2015,12,"3,489",12/31/2015,GNI,1,,,,RCL930-938,-850.42
44331,51140,00000,1100-40-44-443-4431-0000-00000-00000-51140-00000,ST SN REMV COMP ABSNC,2015,12,"3,489",12/31/2015,GNI,1,,,,RCL930-938,850.42
44332,51140,00000,1100-40-44-443-4432-0000-00000-00000-51140-00000,ST SN CROS COMP ABSNC,2015,12,"3,489",12/31/2015,GNI,1,,,,RCL930-938,850.42
44330,51110,00000,1100-40-44-443-4430-0000-00000-00000-51110-00000,ST SN PLOW PERM WAGES,2015,12,"3,489",12/31/2015,GNI,1,,,,RCL930-938,"-7,486.88"
44301,51120,00000,1100-40-44-443-4401-0000-00000-00000-51120-00000,SW ADM PRMIUM PAY,2015,12,"3,489",12/31/2015,GNI,1,,,,RCL930-938,"-8,507.39"
44301,51140,00000,1100-40-44-443-4401-0000-00000-00000-51140-00000,SW ADM COMP ABSNC,2015,12,"3,489",12/31/2015,GNI,1,,,,RCL930-938,"8,507.39"
44330,51140,00000,1100-40-44-443-4430-0000-00000-00000-51140-00000,ST SN PLOW COMP ABSNC,2015,12,"3,489",12/31/2015,GNI,1,,,,RCL930-938,"20,253.32"
44331,51120,00000,1100-40-44-443-4431-0000-00000-00000-51120-00000,ST SN REMV PRMIUM PAY,2015,12,"3,489",12/31/2015,GNI,1,,,,RCL930-938,-850.42
44330,51120,00000,1100-40-44-443-4430-0000-00000-00000-51120-00000,ST SN PLOW PRMIUM PAY,2015,12,"3,489",12/31/2015,GNI,1,,,,RCL930-938,"-12,766.44"
44301,54112,00000,1100-40-44-443-4401-0000-00000-00000-54112-00000,SW ADM ELECTRICIT,2015,12,"3,096",12/30/2015,GEN,1,RCLS,,,LF ELEC,30.35
44301,54112,00000,1100-40-44-443-4401-0000-00000-00000-54112-00000,SW ADM ELECTRICIT,2015,12,"3,096",12/30/2015,GEN,1,RCLS,,,LF ELEC,24.73
44330,57141,00000,1100-40-44-443-4430-0000-00000-00000-57141-00000,ST SN PLOW ID CHRG FS,2015,12,"3,035",12/31/2015,GNI,1,,,,FS CHARGES,"46,815.23"
44331,57141,00000,1100-40-44-443-4431-0000-00000-00000-57141-00000,ST SN REMV ID CHRG FS,2015,12,"3,035",12/31/2015,GNI,1,,,,FS CHARGES,293.54
44332,57141,00000,1100-40-44-443-4432-0000-00000-00000-57141-00000,ST SN CROS ID CHRG FS,2015,12,"3,035",12/31/2015,GNI,1,,,,FS CHARGES,"4,275.45"
44333,57141,00000,1100-40-44-443-4433-0000-00000-00000-57141-00000,ST SN BARR ID CHRG FS,2015,12,"3,035",12/31/2015,GNI,1,,,,FS CHARGES,966.86
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2015,12,"2,782",12/30/2015,API,1,065037,,113319,255,10.04
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2015,12,"2,782",12/30/2015,API,1,065037,,113325,255,9.52
44331,52410,00000,1100-40-44-443-4431-0000-00000-00000-52410-00000,ST SN REMV HLTH INS B,2015,12,"2,675",12/31/2015,GNI,1,,,,RCL FEB PR,-527.33
44333,52410,00000,1100-40-44-443-4433-0000-00000-00000-52410-00000,ST SN BARR HLTH INS B,2015,12,"2,675",12/31/2015,GNI,1,,,,RCL FEB PR,-540.66
44332,52410,00000,1100-40-44-443-4432-0000-00000-00000-52410-00000,ST SN CROS HLTH INS B,2015,12,"2,675",12/31/2015,GNI,1,,,,RCL FEB PR,"-3,762.56"
