ORG,OBJECT,PROJECT,ACCOUNT,DESCRIPTION,YEAR,PER,JOURNAL,EFF DATE,SRC,T,REF1,PO/REF2,REF3,REFERENCE,AMOUNT,YR,MT,DY,TEMP MAX,TEMP MIN,TEMP AVG,TEMP DEP,TEMP HDD,TEMP CDD,PCPN WTR,SNOW SNW,SNOW DPTH,WIND AVG SPD,WIND MX SPD,WIND 2MIN DIR,SUNSHINE MIN,SUNSHINE PSBL,SKY S-S,SKY WX,PK SPD,PK DR
44330,57141,00000,1100-40-44-443-4430-0000-00000-00000-57141-00000,ST SN PLOW ID CHRG FS,2015,12,3750,2015/12/30,GEN,1,,,,FS CHRGS,650676.00,2015,2015/12,2015/12/30,29,25,27,7,38,0,0,0,3,3.7,8,300,M,M,10,18,13,270
44331,57141,00000,1100-40-44-443-4431-0000-00000-00000-57141-00000,ST SN REMV ID CHRG FS,2015,12,3750,2015/12/30,GEN,1,,,,FS CHRGS,95601.00,2015,2015/12,2015/12/30,29,25,27,7,38,0,0,0,3,3.7,8,300,M,M,10,18,13,270
44332,57141,00000,1100-40-44-443-4432-0000-00000-00000-57141-00000,ST SN CROS ID CHRG FS,2015,12,3750,2015/12/30,GEN,1,,,,FS CHRGS,95601.00,2015,2015/12,2015/12/30,29,25,27,7,38,0,0,0,3,3.7,8,300,M,M,10,18,13,270
44335,57141,00000,1100-40-44-443-4435-0000-00000-00000-57141-00000,ST SN BUS ID CHRG FS,2015,12,3750,2015/12/30,GEN,1,,,,FS CHRGS,18532.00,2015,2015/12,2015/12/30,29,25,27,7,38,0,0,0,3,3.7,8,300,M,M,10,18,13,270
44332,51120,00000,1100-40-44-443-4432-0000-00000-00000-51120-00000,ST SN CROS PRMIUM PAY,2015,12,3489,2015/12/31,GNI,1,,,,RCL930-938,-850.42,2015,2015/12,2015/12/31,26,18,22,2,43,0,0,0,2,7.2,15,250,M,M,7,,23,230
44331,51140,00000,1100-40-44-443-4431-0000-00000-00000-51140-00000,ST SN REMV COMP ABSNC,2015,12,3489,2015/12/31,GNI,1,,,,RCL930-938,850.42,2015,2015/12,2015/12/31,26,18,22,2,43,0,0,0,2,7.2,15,250,M,M,7,,23,230
44332,51140,00000,1100-40-44-443-4432-0000-00000-00000-51140-00000,ST SN CROS COMP ABSNC,2015,12,3489,2015/12/31,GNI,1,,,,RCL930-938,850.42,2015,2015/12,2015/12/31,26,18,22,2,43,0,0,0,2,7.2,15,250,M,M,7,,23,230
44330,51110,00000,1100-40-44-443-4430-0000-00000-00000-51110-00000,ST SN PLOW PERM WAGES,2015,12,3489,2015/12/31,GNI,1,,,,RCL930-938,-7486.88,2015,2015/12,2015/12/31,26,18,22,2,43,0,0,0,2,7.2,15,250,M,M,7,,23,230
44301,51120,00000,1100-40-44-443-4401-0000-00000-00000-51120-00000,SW ADM PRMIUM PAY,2015,12,3489,2015/12/31,GNI,1,,,,RCL930-938,-8507.39,2015,2015/12,2015/12/31,26,18,22,2,43,0,0,0,2,7.2,15,250,M,M,7,,23,230
44301,51140,00000,1100-40-44-443-4401-0000-00000-00000-51140-00000,SW ADM COMP ABSNC,2015,12,3489,2015/12/31,GNI,1,,,,RCL930-938,8507.39,2015,2015/12,2015/12/31,26,18,22,2,43,0,0,0,2,7.2,15,250,M,M,7,,23,230
