Employee #,Filled Position Description,Filled FTE Percent,Current Salary
3504,ASST CITY ATTY, 	1.00 ," 	147,965 "
2114,LITIGATION ASST 1, 	1.00 ," 	69,262 "
1351,CLERK-TYP 2, 	1.00 ," 	50,373 "
3630,ASST CITY ATTY, 	1.00 ," 	149,310 "
3074,SECRETARY 3-LEGAL, 	1.00 ," 	61,973 "
2963,ATTY CITY, 	1.00 ," 	164,949 "
3669,ASST CITY ATTY, 	1.00 ," 	86,748 "
1121,LEGAL OFFICE ASST, 	1.00 ," 	49,517 "
2665,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 "
1381,ASST CITY ATTY, 	1.00 ," 	86,748 "
1215,ORD REVISIONS SPEC, 	1.00 ," 	62,333 "
2320,ASST CITY ATTY, 	1.00 ," 	149,310 "
1288,DEPUTY CITY ATTY, 	1.00 ," 	144,405 "
1249,SECRETARY 2-LEGAL, 	1.00 ," 	54,094 "
3826,ASST CITY ATTY, 	1.00 ," 	120,694 "
2708,ASST CITY ATTY, 	1.00 ," 	118,936 "
4087,ASST CITY ATTY, 	1.00 ," 	149,310 "
9053,ASST CITY ATTY, 	1.00 ," 	71,530 "
4118,SECRETARY 2-LEGAL, 	1.00 ," 	55,670 "
1159,ASST CITY ATTY, 	1.00 ," 	91,618 "
1032,ALDERMAN, 	1.00 ," 	12,980 "
1402,COUNCIL PRESIDENT, 	1.00 ," 	15,794 "
7635,COUNCIL VICE PRESIDE, 	1.00 ," 	14,002 "
3739,ADMIN ASST, 	1.00 ," 	64,092 "
4110,SECRETARY 1, 	1.00 ," 	56,217 "
9084,SECY TO MAYOR, 	1.00 ," 	54,081 "
9029,MAYORAL OFF CLK, 	1.00 ," 	47,827 "
9227,MAYORAL OFF CLK, 	1.00 ," 	47,827 "
1128,DEPUTY MAYOR 2, 	1.00 ," 	121,233 "
5757,DEPUTY MAYOR 2, 	1.00 ," 	102,640 "
2627,DEPUTY MAYOR 2, 	1.00 ," 	105,719 "
3558,DEPUTY MAYOR 2, 	1.00 ," 	111,878 "
4092,DEPUTY MAYOR 2, 	1.00 ," 	105,719 "
1375,MAYOR, 	1.00 ," 	139,894 "
1202,MAYOR'S OFF ADMIN CO, 	1.00 ," 	66,326 "
10266,AA MGR-18, 	1.00 ," 	80,753 "
9340,AFF ACTION SPEC, 	1.00 ," 	73,454 "
3477,CCS 2, 	1.00 ," 	69,208 "
10607,PROGRAM ASST 1, 	1.00 ," 	43,682 "
3104,DR & SP COORD, 	1.00 ," 	72,319 "
2415,M.T. DIRECTOR, 	1.00 ," 	137,273 "
2859,M.T. ASSOC DIRECTOR, 	1.00 ," 	97,546 "
9558,COM DEV PROG MGR, 	1.00 ," 	88,678 "
9341,CHILD CARE ASST COOR, 	1.00 ," 	53,912 "
9174,CHILD CARE PROG SPEC, 	1.00 ," 	67,192 "
2484,PROGRAM ASST 2, 	1.00 ," 	58,225 "
3308,CHILD CARE PROG SPEC, 	1.00 ," 	75,657 "
1460,COM DEV PROG MGR, 	1.00 ," 	103,047 "
4095,COMM SERVS SPEC 2-18, 	1.00 ," 	93,916 "
1947,CHILD CARE PROG SPEC, 	1.00 ," 	81,534 "
10350,COM DEV SPEC 2-18, 	1.00 ," 	64,394 "
3566,CHILD CARE PROG SPEC, 	1.00 ," 	81,534 "
3574,CHILD CARE PROG SPEC, 	1.00 ," 	75,657 "
7851,LIBRARY ASST 1, 	1.00 ," 	47,702 "
4054,PROG ASST 1, 	1.00 ," 	58,544 "
1354,LIB FAC MGR, 	1.00 ," 	95,772 "
3448,LIBRARIAN 3, 	1.00 ," 	69,164 "
4181,LIBRARIAN 1-33, 	1.00 ," 	59,945 "
10225,ACCOUNTANT 1-18, 	1.00 ," 	59,271 "
2567,LIBRARIAN 2, 	1.00 ," 	75,208 "
3092,CLERK-TYP 1-32, 	1.00 ," 	37,793 "
7895,CLERK-TYP 1-32 PT, 	0.80 ," 	29,354 "
1728,CLERK-TYP 2, 	1.00 ," 	49,424 "
4029,CLERK 2, 	1.00 ," 	50,323 "
4082,LIBRARIAN 2, 	1.00 ," 	69,164 "
2314,LIBRARIAN 2, 	1.00 ," 	71,179 "
8078,LIBRARIAN 1-33, 	1.00 ," 	57,031 "
1264,ADMIN CLK 1, 	1.00 ," 	44,931 "
4053,LIBRARY DIRECTOR, 	1.00 ," 	141,444 "
1601,LIBRARIAN 2, 	1.00 ," 	69,164 "
8021,LIBRARY ASST 1, 	0.80 ," 	38,162 "
2682,CLERK-TYP 1-32 PT, 	0.80 ," 	30,235 "
1511,LIBRARY ASST 1, 	1.00 ," 	55,917 "
9288,LIBRARY ASST 1, 	0.80 ," 	35,945 "
7916,CUSTODIAL WORKER 2, 	1.00 ," 	46,405 "
3859,CUSTODIAL WORKER 2, 	1.00 ," 	50,657 "
2068,LIBRARY ASST 1, 	1.00 ," 	52,359 "
3425,LIBRARIAN 2, 	0.80 ," 	59,628 "
2952,FACILITY MAINT WKR, 	1.00 ," 	52,040 "
6953,LIBRARY ASST 1, 	0.80 ," 	39,519 "
2618,LIB MAINT COORD, 	1.00 ," 	71,423 "
1571,LIBRARIAN SUPV, 	1.00 ," 	90,443 "
2045,CUSTODIAL WORKER 2, 	1.00 ," 	53,116 "
3192,LIBRARIAN 2, 	0.80 ," 	60,166 "
4103,CLERK-TYP 2, 	0.90 ," 	44,109 "
6034,LIBRARY ASST 1, 	1.00 ," 	50,834 "
1513,CLERK-TYP 2, 	0.90 ," 	42,895 "
8076,LIBRARY ASST 1, 	1.00 ," 	47,702 "
9718,LIBRARY ASST 1, 	0.70 ," 	32,588 "
1589,LIBRARIAN SUPV, 	1.00 ," 	89,636 "
10249,LIBRARIAN 1-33, 	1.00 ," 	55,505 "
4170,LIBRARY ASST 1, 	1.00 ," 	49,133 "
3432,CLERK 2, 	0.70 ," 	34,944 "
3412,LIBRARIAN 2, 	1.00 ," 	75,208 "
3546,ADMIN CLK 2, 	1.00 ," 	58,544 "
4051,LIBRARIAN 2, 	1.00 ," 	72,522 "
1507,LIBRARIAN 2, 	1.00 ," 	73,865 "
2286,LIBRARIAN 2, 	1.00 ," 	75,208 "
3598,LIBRARY PRESS OPR, 	1.00 ," 	54,832 "
3501,LIB BUS OPER MGR, 	1.00 ," 	108,880 "
1554,CLERK 2, 	1.00 ," 	50,323 "
1065,LIBRARIAN 1-33, 	1.00 ," 	58,742 "
3054,LIBRARY ASST 1, 	0.80 ," 	40,667 "
9407,LIBRARIAN 1-33, 	1.00 ," 	55,505 "
2622,CLERK-TYP 2, 	1.00 ," 	50,323 "
3479,CLERK-TYP 2, 	1.00 ," 	47,627 "
1003,LIBRARIAN 3, 	1.00 ," 	75,657 "
VACANT,VACANT,VACANT,VACANT
