Employee #,Filled Position Description,Filled FTE Percent,Current Salary
3504,ASST CITY ATTY-23, 	1.00 ," 	154,162 "
2114,LITIGATION ASST 1-17, 	1.00 ," 	71,513 "
1351,CLERK-TYP 2-20, 	1.00 ," 	52,010 "
3630,ASST CITY ATTY-23, 	1.00 ," 	154,162 "
3074,SECRETARY 3-LEGAL-17, 	1.00 ," 	63,987 "
2963,ATTY CITY-21, 	1.00 ," 	170,310 "
3669,ASST CITY ATTY-23, 	1.00 ," 	89,567 "
1121,LEGAL OFFICE ASST-20, 	1.00 ," 	51,126 "
VACANT,VACANT,VACANT,VACANT
1381,ASST CITY ATTY-23, 	1.00 ," 	94,596 "
1215,ORD REVISIONS SPEC-20, 	1.00 ," 	64,949 "
2320,ASST CITY ATTY-23, 	1.00 ," 	154,162 "
1288,DEPUTY CITY ATTY-18, 	1.00 ," 	149,098 "
VACANT,VACANT,VACANT,VACANT
3826,ASST CITY ATTY-23, 	1.00 ," 	134,133 "
2708,ASST CITY ATTY-23, 	1.00 ," 	122,801 "
4087,ASST CITY ATTY-23, 	1.00 ," 	154,162 "
9053,ASST CITY ATTY-23, 	1.00 ," 	73,855 "
4118,SECRETARY 2-LEGAL-20, 	1.00 ," 	57,479 "
1159,ASST CITY ATTY-23, 	1.00 ," 	97,351 "
1032,ALDER-19, 	1.00 ," 	13,272 "
7635,COUNCIL PRESIDENT-19, 	1.00 ," 	16,149 "
4778,COUNCIL VICE PRESIDENT-19, 	1.00 ," 	14,317 "
3739,LEGIS MGMT SYSTEM SPEC, 	1.00 ," 	71,513 "
4110,PROGRAM ASST 2-17, 	1.00 ," 	61,476 "
9084,SECY TO MAYOR-19, 	1.00 ," 	57,777 "
3258,MAYORAL OFF CLK-17, 	1.00 ," 	56,988 "
9227,MAYORAL OFF CLK-17, 	1.00 ," 	51,216 "
1128,DEPUTY MAYOR 2-19, 	1.00 ," 	125,173 "
5757,DEPUTY MAYOR 2-19, 	1.00 ," 	114,506 "
2627,DEPUTY MAYOR 2-19, 	1.00 ," 	114,506 "
3558,DEPUTY MAYOR 2-19, 	1.00 ," 	121,176 "
4092,DEPUTY MAYOR 2-19, 	1.00 ," 	114,506 "
1375,MAYOR-19, 	1.00 ," 	141,432 "
1202,MAYOR'S OFF ADMIN COORD-18, 	1.00 ," 	71,457 "
10266,AA MGR-18, 	1.00 ," 	95,769 "
9340,AFF ACTION SPEC-18, 	1.00 ," 	75,841 "
12720,CONTRACT COMP SPEC 1, 	1.00 ," 	55,422 "
10607,PROGRAM ASST 1-17, 	1.00 ," 	49,381 "
3104,DR & SP COORD-18, 	1.00 ," 	78,116 "
2415,M.T. DIRECTOR-21, 	1.00 ," 	141,734 "
2859,M.T. ASSOC DIRECTOR-18, 	1.00 ," 	105,346 "
9558,COMM DEV PROG MGR-18, 	1.00 ," 	95,769 "
9341,CHILD CARE ASST COOR-20, 	1.00 ," 	55,664 "
9174,CHILD CARE PROG SPEC 2-18, 	1.00 ," 	72,495 "
2484,COM DEV TECH 1-20, 	1.00 ," 	63,230 "
12713,CHILD CARE PROG SPEC 1-18, 	1.00 ," 	58,921 "
1460,COMM DEV PROG MGR-18, 	1.00 ," 	106,396 "
4095,COM DEV SPEC 4-18, 	1.00 ," 	101,632 "
1947,CHILD CARE PROG SPEC 2-18, 	1.00 ," 	84,184 "
10350,COM DEV SPEC 2-18, 	1.00 ," 	69,376 "
3566,CHILD CARE PROG SPEC 2-18, 	1.00 ," 	84,184 "
3574,CHILD CARE PROG SPEC 2-18, 	1.00 ," 	78,116 "
7851,LIBRARY ASST 1-32, 	1.00 ," 	51,004 "
4054,PROG ASST 1-32, 	1.00 ," 	60,447 "
1354,LIB FAC MGR-18, 	1.00 ," 	98,885 "
3448,LIBRARIAN 3-33, 	1.00 ," 	74,623 "
4181,LIBRARIAN 1-33, 	1.00 ," 	63,595 "
2854,ACCOUNTANT 1-18, 	1.00 ," 	71,457 "
2567,LIBRARIAN 2-33, 	1.00 ," 	77,652 "
3092,CLERK-TYP 1-32, 	1.00 ," 	43,359 "
7895,CLERK-TYP 1-32 PT, 	0.80 ," 	33,677 "
1728,CLERK-TYP 2-32, 	1.00 ," 	51,031 "
4029,CLERK 2-32, 	1.00 ," 	51,958 "
4082,LIBRARIAN 2-33, 	1.00 ," 	71,412 "
2314,LIBRARIAN 2-33, 	1.00 ," 	74,879 "
8078,LIBRARIAN 1-33, 	1.00 ," 	61,159 "
VACANT,VACANT,VACANT,VACANT
4053,LIBRARY DIRECTOR-21, 	1.00 ," 	146,041 "
1601,LIBRARIAN 2-33, 	1.00 ," 	73,492 "
8021,LIBRARY ASST 1-32 PT, 	0.80 ," 	40,803 "
7874,CLERK-TYP 1-32 PT, 	0.80 ," 	31,245 "
1511,LIBRARY ASST 1-32, 	1.00 ," 	57,734 "
9288,LIBRARY ASST 1-32 PT, 	0.80 ," 	38,419 "
7916,CUSTODIAL WORKER 2-15, 	1.00 ," 	49,136 "
VACANT,VACANT,VACANT,VACANT
6953,LIBRARY ASST 1-32, 	1.00 ," 	54,060 "
3425,LIBRARIAN 2-33 PT, 	0.60 ," 	46,175 "
2952,FACILITY MAINT WKR-15, 	1.00 ," 	59,105 "
11833,LIBRARY ASST 1-32 PT, 	0.80 ," 	37,113 "
10229,LIB MAINT COORD-15, 	1.00 ," 	59,445 "
1571,LIBRARIAN SUPV-18, 	1.00 ," 	93,382 "
2045,CUSTODIAL WORKER 2-15, 	1.00 ," 	55,350 "
3192,LIBRARIAN 2-33 PT, 	0.80 ," 	62,121 "
4103,CLERK-TYP 2-32 PT, 	0.90 ," 	45,543 "
6034,LIBRARY ASST 1-32, 	1.00 ," 	54,060 "
1513,CLERK-TYP 2-32 PT, 	0.90 ," 	44,289 "
9718,LIBRARY ASST 1-32, 	1.00 ," 	49,252 "
1978,LIBRARY ASST 1-32 PT, 	0.70 ," 	40,452 "
1589,LIBRARIAN SUPV-18, 	1.00 ," 	92,549 "
10249,LIBRARIAN 1-33, 	1.00 ," 	58,884 "
VACANT,VACANT,VACANT,VACANT
3432,CLERK 2-32 PT, 	0.70 ," 	36,405 "
3412,LIBRARIAN 2-33, 	1.00 ," 	77,652 "
3546,ADMIN CLK 2-32, 	1.00 ," 	60,447 "
4051,LIBRARIAN 2-33, 	1.00 ," 	74,879 "
1507,LIBRARIAN 2-33, 	1.00 ," 	76,959 "
2286,LIBRARIAN 2-33, 	1.00 ," 	77,652 "
3598,LIBRARY PRESS OPR-32, 	1.00 ," 	56,615 "
3501,LIB BUS OPER MGR-18, 	1.00 ," 	112,419 "
1554,CLERK 2-32, 	1.00 ," 	51,958 "
1065,LIBRARIAN 1-33, 	1.00 ," 	62,993 "
3054,LIBRARY ASST 1-32 PT, 	0.80 ," 	43,249 "
9407,LIBRARIAN 1-33, 	1.00 ," 	58,884 "
2622,CLERK-TYP 2-32, 	1.00 ," 	51,958 "
3479,CLERK-TYP 2-32, 	1.00 ," 	49,175 "
1003,LIBRARIAN 3-18, 	1.00 ," 	78,116 "
2068,LIBRARIAN 1-33, 	1.00 ," 	60,747 "
3022,LIBRARIAN 2-33, 	1.00 ," 	77,652 "
11621,MAINT MECH 1-15, 	1.00 ," 	53,830 "
2116,LIBRARY ASST 1-32, 	1.00 ," 	58,784 "
1639,CLERK 2-32 PT, 	0.80 ," 	41,567 "
2239,ADMIN CLK 1-32, 	1.00 ," 	56,105 "
VACANT,VACANT,VACANT,VACANT
1745,CLERK 2-32 PT, 	0.65 ," 	33,790 "
4154,LIBRARY ASST 1-32 PT, 	0.60 ," 	28,814 "
1567,CLERK 2-32, 	1.00 ," 	51,958 "
3867,LIBRARIAN 2-33 PT, 	0.60 ," 	44,927 "
VACANT,VACANT,VACANT,VACANT
2426,ADMIN CLK 1-32, 	1.00 ," 	57,125 "
2181,LIBRARIAN 2-33, 	1.00 ," 	76,959 "
3674,LIB ASSOC DIR, 	1.00 ," 	110,442 "
2322,LIBRARIAN 1-33, 	1.00 ," 	67,886 "
1165,LIBRARY ASST 1-32, 	1.00 ," 	58,259 "
3379,PROGRAM ASST 1-17, 	1.00 ," 	60,841 "
