Employee #,Filled Position Description,Filled FTE Percent,Current Salary
3504,ASST CITY ATTY,1," 	146,500 "
2114,LITIGATION ASST 1,1," 	68,577 "
1351,CLERK-TYP 2,1," 	49,874 "
3630,ASST CITY ATTY,1," 	147,832 "
3074,SECRETARY 3-LEGAL,1," 	61,359 "
2963,ATTY CITY,1," 	163,316 "
3669,ASST CITY ATTY,1," 	78,969 "
1121,LEGAL OFFICE ASST,1," 	49,026 "
2665,SECRETARY 2-LEGAL,1," 	55,118 "
1381,ASST CITY ATTY,1," 	85,889 "
1215,ORD REVISIONS SPEC,1," 	61,715 "
2320,ASST CITY ATTY,1," 	147,832 "
1288,DEPUTY CITY ATTY,1," 	142,975 "
1249,SECRETARY 2-LEGAL,1," 	50,615 "
3826,ASST CITY ATTY,1," 	114,425 "
2708,ASST CITY ATTY,1," 	112,499 "
4087,ASST CITY ATTY,1," 	147,832 "
9053,ASST CITY ATTY,1," 	67,070 "
4118,SECRETARY 2-LEGAL,1," 	55,118 "
1159,ASST CITY ATTY,1," 	90,711 "
1032,ALDERMAN,1," 	12,979 "
1402,COUNCIL PRESIDENT,1," 	15,793 "
7635,COUNCIL VICE PRESIDE,1," 	14,002 "
3739,ADMIN ASST,1," 	63,457 "
4110,SECRETARY 1,1," 	55,154 "
9084,SECY TO MAYOR,1," 	51,853 "
9029,MAYORAL OFF CLK,1," 	46,121 "
9227,MAYORAL OFF CLK,1," 	46,121 "
1128,DEPUTY MAYOR 2,1," 	120,033 "
5757,DEPUTY MAYOR 2,1," 	101,624 "
2627,DEPUTY MAYOR 2,1," 	104,673 "
3558,DEPUTY MAYOR 2,1," 	110,770 "
4092,DEPUTY MAYOR 2,1," 	104,673 "
1375,MAYOR,1," 	139,894 "
1202,MAYOR'S OFF ADMIN CO,1," 	63,125 "
9293,AA MGR,0.5," 	45,978 "
9340,AFF ACTION SPEC,1," 	69,518 "
3477,CCS 2,1," 	68,522 "
VACANT,VACANT,VACANT,VACANT
3104,DR & SP COORD,1," 	68,522 "
2415,M.T. DIRECTOR,1," 	135,914 "
VACANT,VACANT,VACANT,VACANT
9558,COM DEV PROG MGR,1," 	83,771 "
9341,CHILD CARE ASST COOR,1," 	51,998 "
9174,CHILD CARE PROG SPEC 1-18,1," 	58,685 "
2484,PROGRAM ASST 2,1," 	57,649 "
3308,CHILD CARE PROG SPEC,1," 	74,908 "
1460,COM DEV PROG MGR,1," 	102,027 "
4095,COMM SERVS SPEC 2-18,1," 	88,748 "
1947,CHILD CARE PROG SPEC,1," 	80,726 "
10350,COM DEV SPEC 2-18,1," 	61,287 "
3566,CHILD CARE PROG SPEC,1," 	80,726 "
3574,CHILD CARE PROG SPEC,1," 	74,908 "
7851,LIBRARY ASST 1,1," 	46,052 "
4054,PROG ASST 1,1," 	57,964 "
1354,LIB FAC MGR,1," 	93,068 "
3448,LIBRARIAN 3,1," 	65,628 "
4181,LIBRARIAN 1-33,1," 	56,297 "
10225,ACCOUNTANT 1-18,1," 	56,502 "
2567,LIBRARIAN 2,1," 	74,463 "
1252,CLERK-TYP 2,1," 	48,045 "
7895,CLERK-TYP 1-32 PT,0.8," 	29,063 "
1728,CLERK-TYP 2,1," 	48,935 "
4029,CLERK 2,1," 	49,825 "
4082,LIBRARIAN 2,1," 	68,479 "
2314,LIBRARIAN 2,1," 	70,474 "
8078,LIBRARIAN 1-33,1," 	54,955 "
1264,ADMIN CLK 1,1," 	43,311 "
4053,LIBRARY DIRECTOR,1," 	130,814 "
1601,LIBRARIAN 2,1," 	68,479 "
8021,LIBRARY ASST 1,0.8," 	37,784 "
3092,CLERK-TYP 1-32 PT,0.65," 	24,335 "
1511,LIBRARY ASST 1,1," 	54,860 "
7372,LIBRARY ASST 1,0.8," 	36,841 "
7916,CUSTODIAL WORKER 2,1," 	44,391 "
3859,CUSTODIAL WORKER 2,1," 	50,156 "
2068,LIBRARY ASST 1,1," 	51,840 "
3425,LIBRARIAN 2,0.8," 	59,038 "
2952,FACILITY MAINT WKR,1," 	56,162 "
6953,LIBRARY ASST 1,0.8," 	39,128 "
2618,LIB MAINT COORD,1," 	70,716 "
1571,LIBRARIAN SUPV,1," 	89,547 "
2045,CUSTODIAL WORKER 2,1," 	52,590 "
3192,LIBRARIAN 2,0.8," 	59,570 "
4103,CLERK-TYP 2,0.9," 	43,272 "
6034,LIBRARY ASST 1,1," 	48,910 "
1513,CLERK-TYP 2,0.9," 	41,268 "
8076,LIBRARY ASST 1,1," 	46,052 "
9718,LIBRARY ASST 1,0.7," 	32,266 "
1589,LIBRARIAN SUPV,1," 	88,748 "
10249,LIBRARIAN 1-33,1," 	53,110 "
4170,LIBRARY ASST 1,1," 	48,647 "
3432,CLERK 2,0.7," 	34,598 "
3412,LIBRARIAN 2,1," 	74,463 "
3546,ADMIN CLK 2,1," 	57,964 "
4051,LIBRARIAN 2,1," 	70,474 "
1507,LIBRARIAN 2,1," 	73,133 "
2286,LIBRARIAN 2,1," 	74,463 "
3598,LIBRARY PRESS OPR,1," 	54,290 "
3501,LIB BUS OPER MGR,1," 	107,802 "
1554,CLERK 2,1," 	49,825 "
1065,LIBRARIAN 1-33,1," 	56,604 "
3054,LIBRARY ASST 1,0.8," 	39,128 "
9407,LIBRARIAN 1-33,1," 	54,955 "
2622,CLERK-TYP 2,1," 	49,825 "
3479,CLERK-TYP 2,1," 	45,821 "
1003,LIBRARIAN 3,1," 	74,908 "
VACANT,VACANT,VACANT,VACANT
3022,LIBRARIAN 2,1," 	73,798 "
3254,MAINT MECH 1,1," 	64,117 "
2116,LIBRARY ASST 1,1," 	56,370 "
1639,CLERK 2,0.8," 	39,504 "
2239,ADMIN CLK 1,1," 	53,311 "
2565,CLERK 2,1," 	49,825 "
1745,CLERK 2,0.65," 	32,402 "
9234,LIBRARY ASST 1,0.6," 	27,631 "
1567,CLERK 2,1," 	49,825 "
3867,LIBRARIAN 2,0.6," 	42,284 "
6256,LIBRARY ASST 1,0.65," 	31,807 "
2426,ADMIN CLK 1,1," 	54,779 "
1326,LIBRARIAN 2,1," 	74,463 "
3674,LIB ASSOC DIR,1," 	96,429 "
2322,LIBRARIAN 1-33,1," 	61,000 "
9194,LIBRARY ASST 1,1," 	46,052 "
3379,PROGRAM ASST 1,1," 	58,342 "
3956,LIBRARIAN 2,1," 	70,474 "
4088,LIBRARY ASST 1,1," 	47,230 "
2797,CUSTODIAL WORKER 3,1," 	57,192 "
2857,CLERK-TYP 2,0.7," 	34,598 "
3925,LIBRARY ASST 1,1," 	53,350 "
10574,MKTG/COMMUN SPEC,1," 	54,991 "
3061,PROG ASST 1-32,1," 	54,859 "
4015,LIBRARIAN 2,1," 	71,804 "
3993,ADMIN CLK 1,0.7," 	37,353 "
9124,LIBRARIAN 1-33,0.8," 	43,964 "
VACANT,VACANT,VACANT,VACANT
3676,LIBRARIAN 1-33,1," 	59,854 "
3639,LIBRARIAN 2,1," 	74,463 "
3749,PROG ASST 1,1," 	57,964 "
3257,PLAN DEVELOP DIR OF,1," 	151,015 "
10235,COM DEV TECH 2,1," 	53,379 "
1036,ADMIN CLK 1,1," 	53,172 "
1558,GRANTS ADMIN 4,0.5," 	49,232 "
10372,COM DEV SPEC 2-18,1," 	66,527 "
1069,GRANTS ADMIN 2,1," 	80,726 "
1005,WORD PROC OPR 2,1," 	52,834 "
2156,GRAPHICS TECH,0.75," 	39,123 "
10319,CLERK-TYPT 1-20 PT,0.6," 	21,481 "
1166,GRANTS ADMIN 2,1," 	74,908 "
7837,WORD PROC OPR 2-20,1," 	46,454 "
VACANT,VACANT,VACANT,VACANT
3442,PLANNER-PRINCIPAL,1," 	99,140 "
1958,PROGRAM ASST 1,1," 	58,238 "
4046,ADMIN CLK 1,1," 	55,141 "
1743,BUSINESS DEV SPEC 2,1," 	74,908 "
3618,PLAN TECH-20,1," 	68,308 "
VACANT,VACANT,VACANT,VACANT
3770,GIS SPECIALIST,1," 	70,908 "
5713,PLANNER 2,1," 	72,726 "
1046,PLANNER 3,1," 	86,349 "
1151,PLANNING DIV DIR,1," 	117,332 "
VACANT,VACANT,VACANT,VACANT
9123,PLANNER 1-18,1," 	61,287 "
4020,PLANNER 3,1," 	82,352 "
1549,PLANNER 2-18,1," 	78,544 "
4023,MAD ARTS PROG ADMIN,1," 	84,750 "
2802,PLANNER 4,1," 	98,336 "
2433,PROGRAM ASST 2,1," 	59,784 "
1607,PLANNER 3,1," 	86,349 "
3455,PLANNER-PRINCIPAL,1," 	102,027 "
5362,CODE ENFORC OFF 3-16,1," 	69,492 "
3278,CODE ENFC OFF 2-16,1," 	66,324 "
1887,CODE ENFC OFF 2-16,1," 	66,324 "
1892,BLDG INSPECT DIV DIR,1," 	128,971 "
2318,CUSTODIAL WKR 2,1," 	55,348 "
4111,ARCHITECT 4,1," 	102,465 "
2901,ZONING ADMIN,1," 	102,027 "
2345,CODE ENFORC OFF 3,1," 	74,643 "
7677,ELEC/HEAT INSPECTOR,1," 	66,852 "
VACANT,VACANT,VACANT,VACANT
3853,ADMIN CLK 1,1," 	54,649 "
10250,CODE ENFC OFF 1-16,1," 	52,192 "
1142,ENGINEER 3,1," 	86,349 "
2971,ELEC/HEAT INSPECTOR,1," 	81,165 "
1649,HSG INSPECTION SUPV,1," 	90,434 "
2133,CODE ENFORC OFF 3,1," 	80,440 "
2104,MAINT MECH 2,1," 	69,566 "
VACANT,VACANT,VACANT,VACANT
2840,INFORMATION CLERK,1," 	49,244 "
VACANT,VACANT,VACANT,VACANT
2793,ELEC/HEAT INSPECTOR,1," 	76,817 "
3178,CUSTODIAL WKR 2,1," 	53,372 "
7978,CODE ENFC OFF 1-16,1," 	55,109 "
10610,PROGRAM ASST 3,1," 	49,112 "
2772,ADMIN CLK 1,1," 	55,141 "
1299,ZONING CODE OFF 2,1," 	68,255 "
3014,CUSTODIAL WKR 2,1," 	55,348 "
7590,PLUMB/HEAT INSPECTOR,1," 	66,852 "
2172,ZONING CODE OFF 2,1," 	72,095 "
2663,CUSTODIAL WKR 1-16,1," 	44,050 "
9207,ELEC/HEAT INSPECTOR,1," 	64,392 "
2220,CODE ENFORC OFF 3,1," 	80,440 "
8537,MAINT MECH 1-16,1," 	53,582 "
3887,ADMIN CLK 1,1," 	53,172 "
1824,INFORMATION CLERK,1," 	47,850 "
2091,PLAN REVIEW SPEC 2,1," 	69,543 "
7645,WGTS MEASURE INSP 3,1," 	57,936 "
3728,ELECTRICIAN,1," 	74,470 "
1700,PLAN REV & INSP SUPV,1," 	112,967 "
VACANT,VACANT,VACANT,VACANT
9070,CUSTODIAL WKR 1-16,1," 	39,963 "
2681,PLAN REVIEW SPEC 4,1," 	84,492 "
2130,PROPERTY CODE INSP 1,1," 	60,011 "
3981,ZONING ADMIN ASST,1," 	76,817 "
2049,CODE ENFC OFF 2-16,1," 	72,119 "
10373,CODE ENFC OFF 1-16,1," 	52,192 "
2719,PLUMB/HEAT INSPECTOR,1," 	72,469 "
2307,PLUMB/HEAT INSPECTOR,1," 	74,643 "
2576,HSG REHAB SPEC,1," 	81,454 "
5999,REAL ESTATE AGENT 2,1," 	69,518 "
3932,REAL ESTATE AGENT 3-18 PT,1," 	88,748 "
2779,PROGRAM ASST 2,1," 	56,808 "
7648,REAL ESTATE AGENT 3,1," 	72,726 "
VACANT,VACANT,VACANT,VACANT
VACANT,VACANT,VACANT,VACANT
3651,BUSINESS DEV SPEC-18,1," 	90,434 "
