Employee #,Filled Position Description,Filled FTE Percent,Current Salary
3504,ASST CITY ATTY,1," 	143,627 "
2114,LITIGATION ASST 1,1," 	67,232 "
1351,CLERK-TYP 2,1," 	48,896 "
3630,ASST CITY ATTY,1," 	144,933 "
3074,SECRETARY 3-LEGAL,1," 	60,156 "
2963,ATTY CITY,1," 	160,114 "
3669,ASST CITY ATTY,1," 	77,420 "
1121,LEGAL OFFICE ASST,1," 	48,065 "
2665,SECRETARY 2-LEGAL,1," 	54,038 "
1381,ASST CITY ATTY,1," 	84,205 "
1215,ORD REVISIONS SPEC,1," 	60,505 "
2320,ASST CITY ATTY,1," 	144,933 "
1288,DEPUTY CITY ATTY,1," 	140,171 "
1249,SECRETARY 2-LEGAL,1," 	49,623 "
3826,ASST CITY ATTY,1," 	112,182 "
2708,ASST CITY ATTY,1," 	110,294 "
4087,ASST CITY ATTY,1," 	144,933 "
9053,ASST CITY ATTY,1," 	65,755 "
4118,SECRETARY 2-LEGAL,1," 	54,038 "
1159,ASST CITY ATTY,1," 	88,933 "
1032,ALDERMAN,1," 	12,979 "
1402,COUNCIL PRESIDENT,1," 	15,793 "
7635,COUNCIL VICE PRESIDE,1," 	14,002 "
3739,ADMIN ASST,1," 	62,213 "
4110,SECRETARY 1,1," 	54,073 "
9084,SECY TO MAYOR,1," 	50,837 "
9029,MAYORAL OFF CLK,1," 	45,216 "
9227,MAYORAL OFF CLK,1," 	45,216 "
1128,DEPUTY MAYOR 2,1," 	117,679 "
5757,DEPUTY MAYOR 2,1," 	95,075 "
2627,DEPUTY MAYOR 2,1," 	97,927 "
3558,DEPUTY MAYOR 2,1," 	103,631 "
4092,DEPUTY MAYOR 2,1," 	97,927 "
1375,MAYOR,1," 	139,894 "
1202,MAYOR'S OFF ADMIN CO,1," 	61,888 "
9293,AA MGR,0.5," 	45,076 "
9340,AFF ACTION SPEC,1," 	68,154 "
3477,CCS 2,1," 	67,179 "
VACANT,VACANT,VACANT,VACANT
3104,DR & SP COORD,1," 	67,179 "
2415,M.T. DIRECTOR,1," 	133,249 "
2540,M.T. ASSOC DIRECTOR,1," 	103,830 "
9558,COM DEV PROG MGR,1," 	82,129 "
9341,CHILD CARE ASST COOR,1," 	50,979 "
9174,CHILD CARE PROG SPEC 1-18,1," 	57,534 "
2484,PROGRAM ASST 2,1," 	56,518 "
3308,CHILD CARE PROG SPEC,1," 	73,439 "
1460,COM DEV PROG MGR,1," 	100,026 "
4095,COMM SERVS SPEC 2-18,1," 	87,008 "
1947,CHILD CARE PROG SPEC,1," 	79,143 "
10350,COM DEV SPEC 2-18,1," 	60,085 "
3566,CHILD CARE PROG SPEC,1," 	79,143 "
3574,CHILD CARE PROG SPEC,1," 	73,439 "
7851,LIBRARY ASST 1,1," 	45,149 "
4054,PROG ASST 1,1," 	56,828 "
1354,LIB FAC MGR,1," 	91,243 "
3448,LIBRARIAN 3,1," 	64,342 "
VACANT,VACANT,VACANT,VACANT
10225,ACCOUNTANT 1-18,1," 	55,394 "
2567,LIBRARIAN 2,1," 	73,003 "
1252,CLERK-TYP 2,1," 	47,103 "
7895,CLERK-TYP 1-32 PT,0.8," 	28,494 "
1728,CLERK-TYP 2,1," 	47,976 "
4029,CLERK 2,1," 	48,848 "
4082,LIBRARIAN 2,1," 	64,342 "
2314,LIBRARIAN 2,1," 	69,092 "
8078,LIBRARIAN 1-33,1," 	53,877 "
1264,ADMIN CLK 1,1," 	42,462 "
4053,LIBRARY DIRECTOR,1," 	128,249 "
1601,LIBRARIAN 2,1," 	67,137 "
8021,LIBRARY ASST 1,0.8," 	37,043 "
3092,CLERK-TYP 1-32 PT,0.6," 	22,011 "
1511,LIBRARY ASST 1,1," 	53,784 "
7372,LIBRARY ASST 1,0.8," 	36,119 "
7916,CUSTODIAL WORKER 2,1," 	43,521 "
3859,CUSTODIAL WORKER 2,1," 	49,172 "
2068,LIBRARY ASST 1,1," 	50,824 "
3425,LIBRARIAN 2,0.8," 	57,880 "
2952,FACILITY MAINT WKR,1," 	55,061 "
6953,LIBRARY ASST 1,0.8," 	38,361 "
