Month,Employee #,Filled Position Description,Filled FTE Percent,Current Salary
April-17,3504.0,ASST CITY ATTY,1.0,143627.0
April-17,2114.0,LITIGATION ASST 1,1.0,67232.0
April-17,1351.0,CLERK-TYP 2,1.0,48896.0
April-17,3630.0,ASST CITY ATTY,1.0,144933.0
April-17,3074.0,SECRETARY 3-LEGAL,1.0,59614.0
April-17,2963.0,ATTY CITY,1.0,160114.0
April-17,3669.0,ASST CITY ATTY,1.0,77420.0
April-17,1121.0,LEGAL OFFICE ASST,1.0,48065.0
April-17,2665.0,SECRETARY 2-LEGAL,1.0,54038.0
April-17,1381.0,ASST CITY ATTY,1.0,84205.0
April-17,1215.0,ORD REVISIONS SPEC,1.0,60505.0
April-17,2320.0,ASST CITY ATTY,1.0,144933.0
April-17,1288.0,DEPUTY CITY ATTY,1.0,140171.0
April-17,1249.0,SECRETARY 2-LEGAL,1.0,49623.0
April-17,3826.0,ASST CITY ATTY,1.0,112182.0
April-17,2708.0,ASST CITY ATTY,1.0,110294.0
April-17,4087.0,ASST CITY ATTY,1.0,144933.0
April-17,9053.0,ASST CITY ATTY,1.0,65755.0
April-17,4118.0,SECRETARY 2-LEGAL,1.0,54038.0
April-17,1159.0,ASST CITY ATTY,1.0,88933.0
April-17,1032.0,ALDERMAN,1.0,12883.0
April-17,4130.0,COUNCIL PRESIDENT,1.0,15676.0
April-17,1402.0,COUNCIL PRES PRO TEM-19,1.0,13898.0
April-17,3739.0,ADMIN ASST,1.0,62213.0
April-17,4110.0,SECRETARY 1,1.0,54073.0
April-17,9084.0,SECY TO MAYOR,1.0,50837.0
April-17,9029.0,MAYORAL OFF CLK,1.0,45216.0
April-17,9227.0,MAYORAL OFF CLK,1.0,45216.0
April-17,1128.0,DEPUTY MAYOR 2,1.0,117679.0
April-17,5757.0,DEPUTY MAYOR 2,1.0,95075.0
April-17,2627.0,DEPUTY MAYOR 2,1.0,97927.0
April-17,3558.0,DEPUTY MAYOR 2,1.0,102681.0
April-17,4092.0,DEPUTY MAYOR 2,1.0,97927.0
April-17,1375.0,MAYOR,1.0,139894.0
April-17,1202.0,MAYOR'S OFF ADMIN CO,1.0,54118.0
April-17,9293.0,AA MGR,0.5,45076.0
April-17,9340.0,AFF ACTION SPEC,1.0,68154.0
April-17,3477.0,CCS 2,1.0,67179.0
April-17,1235.0,PROGRAM ASST 1,1.0,49608.0
April-17,3104.0,DR & SP COORD,1.0,67179.0
April-17,2415.0,M.T. DIRECTOR,1.0,133249.0
April-17,2540.0,M.T. ASSOC DIRECTOR,1.0,103830.0
